text_content,label
We confirm that Clara Johnson successfully completed a project-based internship at TCS during September–September.,1
This is to certify that Daniel Lee has completed internship at Google from March to June.,1
"This letter serves as an official certificate of internship for Alice at Microsoft, under the Research department.",1
This is to certify that Clara Johnson has completed internship at Amazon from May to May.,1
"This letter serves as an official certificate of internship for Clara Johnson at Microsoft, under the Research department.",1
"This letter serves as an official certificate of internship for John Doe at Microsoft, under the Marketing department.",1
This is to certify that Clara Johnson has completed internship at TCS from August to May.,1
"This letter serves as an official certificate of internship for John Doe at TCS, under the Engineering department.",1
"Certificate of internship: The bearer of this letter, Clara Johnson, is certified for internship at Google.",1
"This letter serves as an official certificate of internship for Bob Smith at Infosys, under the Design department.",1
Internship letter: You are selected for a 2-month internship at WIPRO.,1
We confirm that John Doe successfully completed a project-based internship at Microsoft during January–April.,1
"Certificate of internship: The bearer of this letter, Alice, is certified for internship at Google.",1
This is to certify that John Doe has completed internship at Microsoft from May to January.,1
This is to certify that Eva Brown has completed internship at Google from August to July.,1
Internship letter: You are selected for a 3-month internship at Amazon.,1
"This letter serves as an official certificate of internship for Eva Brown at TCS, under the Engineering department.",1
This is to certify that Alice has completed internship at WIPRO from August to June.,1
Internship letter: You are selected for a 1-month internship at TCS.,1
This is to certify that Eva Brown has completed internship at Google from February to January.,1
"Certificate of internship: The bearer of this letter, Clara Johnson, is certified for internship at Amazon.",1
"This letter serves as an official certificate of internship for Alice at Microsoft, under the Design department.",1
This is to certify that John Doe has completed internship at Amazon from February to February.,1
This is to certify that Alice has completed internship at Microsoft from August to June.,1
"Certificate of internship: The bearer of this letter, Eva Brown, is certified for internship at TCS.",1
Internship letter: You are selected for a 1-month internship at Microsoft.,1
We confirm that Alice successfully completed a project-based internship at Infosys during March–June.,1
We confirm that Bob Smith successfully completed a project-based internship at Microsoft during June–January.,1
"Certificate of internship: The bearer of this letter, Alice, is certified for internship at Microsoft.",1
Internship letter: You are selected for a 1-month internship at WIPRO.,1
This is to certify that Alice has completed internship at WIPRO from April to July.,1
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.,0
You’ve been selected for an internship. Send your ID proof to scamjobs.io.,0
Secure your certificate now! Internship confirmed at QuickJobsNow after payment.,0
Urgent! Your internship slot at QuickJobsNow awaits. Send documents to sketchyplace.com.,0
Get an instant internship! Pay 499 and get placed in top MNCs. Visit verify-later.org now!,0
Internship certificate: Congratulations! You are selected by InternshipScam Inc.. Pay 299 INR to start.,0
Urgent! Your internship slot at CertifyFast awaits. Send documents to sketchyplace.com.,0
Internship certificate: Congratulations! You are selected by InternshipScam Inc.. Pay 599 INR to start.,0
Internship certificate: Congratulations! You are selected by QuickJobsNow. Pay 599 INR to start.,0
Urgent! Your internship slot at InternshipScam Inc. awaits. Send documents to unverified-company.net.,0
Internship certificate: Congratulations! You are selected by InternshipScam Inc.. Pay 399 INR to start.,0
Internship certificate: Congratulations! You are selected by GLOBALFAKE Ltd.. Pay 399 INR to start.,0
Urgent! Your internship slot at InternshipScam Inc. awaits. Send documents to fraudsite.info.,0
Urgent! Your internship slot at CertifyFast awaits. Send documents to sketchyplace.com.,0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.,0
Secure your certificate now! Internship confirmed at InternshipScam Inc. after payment.,0
Internship certificate: Congratulations! You are selected by CertifyFast. Pay 399 INR to start.,0
Urgent! Your internship slot at GLOBALFAKE Ltd. awaits. Send documents to scamjobs.io.,0
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.,0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.,0
Secure your certificate now! Internship confirmed at GLOBALFAKE Ltd. after payment.,0
Secure your certificate now! Internship confirmed at QuickJobsNow after payment.,0
Urgent! Your internship slot at CertifyFast awaits. Send documents to unverified-company.net.,0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.,0
Get an instant internship! Pay 499 and get placed in top MNCs. Visit fakeinternship.co now!,0
Urgent! Your internship slot at QuickJobsNow awaits. Send documents to fraudsite.info.,0
Urgent! Your internship slot at CertifyFast awaits. Send documents to scamjobs.io.,0
Congratulation! You have won an internship from random-fake.com. Share your Aadhaar to confirm.,0
Congratulation! You have won an internship from fakeinternship.co. Share your Aadhaar to confirm.,0
Internship certificate: Congratulations! You are selected by CertifyFast. Pay 399 INR to start.,0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.,0
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.,0
Urgent! Your internship slot at GLOBALFAKE Ltd. awaits. Send documents to fraudsite.info.,0
Get an instant internship! Pay 599 and get placed in top MNCs. Visit fakeinternship.co now!,0
Secure your certificate now! Internship confirmed at GLOBALFAKE Ltd. after payment.,0
Urgent! Your internship slot at CertifyFast awaits. Send documents to unverified-company.net.,0
Get an instant internship! Pay 499 and get placed in top MNCs. Visit getinternsnow.biz now!,0
You’ve been selected for an internship. Send your ID proof to fraudsite.info.,0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.,0
Get an instant internship! Pay 499 and get placed in top MNCs. Visit verify-later.org now!,0
You’ve been selected for an internship. Send your ID proof to fraudsite.info.,0
Congratulation! You have won an internship from verify-later.org. Share your Aadhaar to confirm.,0
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.,0
You’ve been selected for an internship. Send your ID proof to fraudsite.info.,0
You’ve been selected for an internship. Send your ID proof to fraudsite.info.,0
Secure your certificate now! Internship confirmed at GLOBALFAKE Ltd. after payment.,0
Congratulation! You have won an internship from random-fake.com. Share your Aadhaar to confirm.,0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.,0
Congratulation! You have won an internship from verify-later.org. Share your Aadhaar to confirm.,0
Congratulation! You have won an internship from getinternsnow.biz. Share your Aadhaar to confirm.,0
You’ve been selected for an internship. Send your ID proof to scamjobs.io.,0
Urgent! Your internship slot at GLOBALFAKE Ltd. awaits. Send documents to unverified-company.net.,0
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.,0
Congratulation! You have won an internship from fakeinternship.co. Share your Aadhaar to confirm.,0
You’ve been selected for an internship. Send your ID proof to scamjobs.io.,0
Congratulation! You have won an internship from getinternsnow.biz. Share your Aadhaar to confirm.,0
Get an instant internship! Pay 299 and get placed in top MNCs. Visit verify-later.org now!,0
You’ve been selected for an internship. Send your ID proof to fraudsite.info.,0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.,0
Congratulation! You have won an internship from getinternsnow.biz. Share your Aadhaar to confirm.,0
Urgent! Your internship slot at QuickJobsNow awaits. Send documents to unverified-company.net.,0
Secure your certificate now! Internship confirmed at CertifyFast after payment.,0
Urgent! Your internship slot at GLOBALFAKE Ltd. awaits. Send documents to sketchyplace.com.,0
Congratulation! You have won an internship from random-fake.com. Share your Aadhaar to confirm.,0
Congratulation! You have won an internship from random-fake.com. Share your Aadhaar to confirm.,0
Congratulation! You have won an internship from random-fake.com. Share your Aadhaar to confirm.,0
Congratulation! You have won an internship from getinternsnow.biz. Share your Aadhaar to confirm.,0
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.,0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.,0
Get an instant internship! Pay 499 and get placed in top MNCs. Visit verify-later.org now!,0
Secure your certificate now! Internship confirmed at QuickJobsNow after payment.,0
Get an instant internship! Pay 399 and get placed in top MNCs. Visit random-fake.com now!,0
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.,0
You’ve been selected for an internship. Send your ID proof to fraudsite.info.,0
Internship certificate: Congratulations! You are selected by GLOBALFAKE Ltd.. Pay 599 INR to start.,0
Get an instant internship! Pay 499 and get placed in top MNCs. Visit getinternsnow.biz now!,0
You’ve been selected for an internship. Send your ID proof to fraudsite.info.,0
Get an instant internship! Pay 399 and get placed in top MNCs. Visit fakeinternship.co now!,0
Congratulation! You have won an internship from random-fake.com. Share your Aadhaar to confirm.,0
Get an instant internship! Pay 499 and get placed in top MNCs. Visit verify-later.org now!,0
Get an instant internship! Pay 299 and get placed in top MNCs. Visit verify-later.org now!,0
Get an instant internship! Pay 299 and get placed in top MNCs. Visit fakeinternship.co now!,0
You’ve been selected for an internship. Send your ID proof to fraudsite.info.,0
Urgent! Your internship slot at QuickJobsNow awaits. Send documents to sketchyplace.com.,0
Get an instant internship! Pay 299 and get placed in top MNCs. Visit fakeinternship.co now!,0
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.,0
Internship certificate: Congratulations! You are selected by QuickJobsNow. Pay 599 INR to start.,0
You’ve been selected for an internship. Send your ID proof to fraudsite.info.,0
Urgent! Your internship slot at CertifyFast awaits. Send documents to scamjobs.io.,0
Urgent! Your internship slot at InternshipScam Inc. awaits. Send documents to fraudsite.info.,0
You’ve been selected for an internship. Send your ID proof to scamjobs.io.,0
Get an instant internship! Pay 499 and get placed in top MNCs. Visit getinternsnow.biz now!,0
Internship certificate: Congratulations! You are selected by GLOBALFAKE Ltd.. Pay 599 INR to start.,0
Secure your certificate now! Internship confirmed at CertifyFast after payment.,0
Urgent! Your internship slot at QuickJobsNow awaits. Send documents to fraudsite.info.,0
Internship certificate: Congratulations! You are selected by QuickJobsNow. Pay 299 INR to start.,0
Congratulation! You have won an internship from verify-later.org. Share your Aadhaar to confirm.,0
Get an instant internship! Pay 299 and get placed in top MNCs. Visit getinternsnow.biz now!,0
Internship certificate: Congratulations! You are selected by GLOBALFAKE Ltd.. Pay 599 INR to start.,0
Congratulation! You have won an internship from getinternsnow.biz. Share your Aadhaar to confirm.,0
